"","Var1","Freq"
"9284","LOS LUGARES DE LA MEMORIA DURANGO 66",16
"9292","LOS MINUTOS SE VIERTEN",35
"9298","LOS MONOLOGOS DE LA VAGINA",229
"9301","LOS NAUFRAGOS",36
"9307","LOS OJOS DE ANA",50
"9326","LOS QUE SOBRAN",20
"9363","LOS TRES COCHINITOS Y EL LOBO FEROZ",31
"9394","LUCHA LIBRE",18
"9402","LUCHA LIBRE CMLL",343
"9403","LUCHA LIBRE CMLL BALCON FREEDOM",17
"9408","LUCHA LIBRE CMLL MARTES POPULARES",17
"9445","LUIS MIGUEL",29
"9576","LXXI TORNEO DE GUANTES DE ORO DEL D F",19
"9581","MACBETH",17
"9597","MADE IN MEXICO",43
"9599","MADE IN MEXICO OTRA HISTORIA",461
"9600","MADE IN MEXICO OTRA HISTORIA DE AMOR",320
"9662","MAMA",16
"9664","MAMA POR SIEMPRE",238
"9665","MAMA TE VOY A DEMANDAR",24
"9666","MAME",32
"9667","MAME EL MUSICAL",47
"9678","MANICOMIO",47
"9709","MANZANAS",41
"9714","MARC ANTHONY",33
"9759","MARIANA MALLOL",38
"9766","MARIA WOYZECK",25
"9785","MAR MONSTRUM",20
"9790","MARTA TIENE UN MARCAPASOS",40
"9791","MARTES DE GLAMOUR",199
"9793","MARTES POPULARES",26
"9794","MARTES POPULARES DE LUCHA LIBRE",86
"9795","MARTES POPULARES DE LUCHA LIBRE CMLL",78
"9798","MARTHA TIENE UN MARCAPASOS",43
"9812","MASCABROTHERS",19
"9821","MASHA Y EL OSO EL SHOW EN VIVO",16
"9823","MASIOSARE UN EXTRAÑO ENEMIGO",23
"9825","MAS PEQUEÑOS QUE EL GUGGENHEIM",47
"9826","MAS PEQUE OS QUE EL GUGGENHEIM",18
"9829","MASTER CLASS",96
"9835","MATATENA",22
"9837","MATEO 19 14",20
"9932","MEGA FERIA IMPERIAL",26
"9981","MEMORIAS DE DOS HIJOS CARACOL",40
"9986","MENDOZA",53
"9988","MENELAO RAPSODIA",56
"9990","MENOCLOWNSIA",16
"9991","MENOPAUSIA EL MUSICAL",134
"9994","MENTIRAS",850
"9996","MENTIRAS EL MUSICAL",67
"10046","ME VALE MADRES EL ESPECTACULO",21
"10089","MIA",24
"10120","MIERCOLES DE STAND UP",22
"10122","MIGUEL ANGEL BUONARROTI",25
"10123","MIGUEL ANGEL Y LEONARDO",50
"10124","MIGUEL BOSE",25
"10142","MILAGROS",23
"10191","MINGA",17
"10202","MI QUERIDO CAPITAN",24
